Query_ID,Analysis_Name,Department,Admission_Type,Disease_Category,Total_Admissions,Gender,Ward_Type,Total_Beds,Occupied_Beds,Available_Beds,Shift,Staff_Count,Doctor_Count,Admission_Count,Admissions_Per_Doctor,Test_Category,Total_Tests,Abnormal_Tests,Total_Bills,Total_Revenue,Average_Bill_Value,Payment_Mode,Payment_Status,Outstanding_Amount,Charge_Type,Total_Charges,Total_Charge_Amount,Average_Charge,Abnormal_Test_Rate,Specialization,Drug_Category,Inventory_Status,Total_Drugs,Total_Prescriptions,Current_Stock,Reorder_Level,Manufacturer_Country,Average_Unit_Cost,Total_Diagnostic_Tests,Revenue_Per_Admission,Tests_Per_Admission
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Surgery,Elective,Infectious,1525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Emergency,Elective,Infectious,1340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Pediatrics,Elective,Infectious,1291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Internal Medicine,Elective,Infectious,1110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Surgery,Emergency,Infectious,1045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Emergency,Emergency,Infectious,902.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Surgery,Elective,Surgical,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Orthopedics,Elective,Infectious,866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Pediatrics,Emergency,Infectious,824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Emergency,Elective,Surgical,804.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Pediatrics,Elective,Surgical,735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
