Query_ID,Analysis_Name,gender,Patient_Count,blood_group,Patiend_Count,admission_type,admission_status,Patient_count,bed_status,bed_count,ward_type,ward_count,length-of-stay ranges,department_type,department_count,specialization,doctor_count,role,employee_count,Billing_Amount_Range,Bill_Count,payment_mode,bill_count,result_status,diagnostic_count,drug_category,drug_count,inventory_status,inventory_count
UA01,PATIENT GENDER DISTRIBUTION How many patients belong to each gender category? ----------------------------------------------------------------,Male,15918.0,,,,,,,,,,,,,,,,,,,,,,,,,,
UA01,PATIENT GENDER DISTRIBUTION How many patients belong to each gender category? ----------------------------------------------------------------,Female,13478.0,,,,,,,,,,,,,,,,,,,,,,,,,,
UA01,PATIENT GENDER DISTRIBUTION How many patients belong to each gender category? ----------------------------------------------------------------,Other,604.0,,,,,,,,,,,,,,,,,,,,,,,,,,
UA02,PATIENT BLOOD GROUP DISTRIBUTION What is the distribution of patients across different blood groups? -------------------------------------------------,,,O+,3851.0,,,,,,,,,,,,,,,,,,,,,,,,
UA02,PATIENT BLOOD GROUP DISTRIBUTION What is the distribution of patients across different blood groups? -------------------------------------------------,,,AB-,3839.0,,,,,,,,,,,,,,,,,,,,,,,,
UA02,PATIENT BLOOD GROUP DISTRIBUTION What is the distribution of patients across different blood groups? -------------------------------------------------,,,O-,3792.0,,,,,,,,,,,,,,,,,,,,,,,,
UA02,PATIENT BLOOD GROUP DISTRIBUTION What is the distribution of patients across different blood groups? -------------------------------------------------,,,A-,3779.0,,,,,,,,,,,,,,,,,,,,,,,,
UA02,PATIENT BLOOD GROUP DISTRIBUTION What is the distribution of patients across different blood groups? -------------------------------------------------,,,AB+,3752.0,,,,,,,,,,,,,,,,,,,,,,,,
UA02,PATIENT BLOOD GROUP DISTRIBUTION What is the distribution of patients across different blood groups? -------------------------------------------------,,,A+,3730.0,,,,,,,,,,,,,,,,,,,,,,,,
UA02,PATIENT BLOOD GROUP DISTRIBUTION What is the distribution of patients across different blood groups? -------------------------------------------------,,,B+,3695.0,,,,,,,,,,,,,,,,,,,,,,,,
UA02,PATIENT BLOOD GROUP DISTRIBUTION What is the distribution of patients across different blood groups? -------------------------------------------------,,,B-,3562.0,,,,,,,,,,,,,,,,,,,,,,,,
UA03,ADMISSION TYPE DISTRIBUTION What type of admissions does the hospital receive most often? ------------------------------------------------------------,,26923.0,,,Elective,,,,,,,,,,,,,,,,,,,,,,,
UA03,ADMISSION TYPE DISTRIBUTION What type of admissions does the hospital receive most often? ------------------------------------------------------------,,18077.0,,,Emergency,,,,,,,,,,,,,,,,,,,,,,,
UA04,ADMISSION STATUS DISTRIBUTION What is the current distribution of admission outcomes/status? ---------------------------------------------------------,,,,,,Discharged,45000.0,,,,,,,,,,,,,,,,,,,,,
UA05,BED STATUS DISTRIBUTION What is the current availability status of hospital beds? ----------------------------------------------------------------,,,,,,,,Occupied,270.0,,,,,,,,,,,,,,,,,,,
UA05,BED STATUS DISTRIBUTION What is the current availability status of hospital beds? ----------------------------------------------------------------,,,,,,,,Available,145.0,,,,,,,,,,,,,,,,,,,
UA06,WARD TYPE DISTRIBUTION What is the composition of hospital wards by type? ----------------------------------------------------------------,,,,,,,,,,General,14.0,,,,,,,,,,,,,,,,,
UA06,WARD TYPE DISTRIBUTION What is the composition of hospital wards by type? ----------------------------------------------------------------,,,,,,,,,,Private,5.0,,,,,,,,,,,,,,,,,
UA06,WARD TYPE DISTRIBUTION What is the composition of hospital wards by type? ----------------------------------------------------------------,,,,,,,,,,Semi-Private,4.0,,,,,,,,,,,,,,,,,
UA06,WARD TYPE DISTRIBUTION What is the composition of hospital wards by type? ----------------------------------------------------------------,,,,,,,,,,ICU,4.0,,,,,,,,,,,,,,,,,
UA07,LENGTH OF STAY DISTRIBUTION How are admissions distributed across different length-of-stay ranges? ---------------------------------------------------,,19596.0,,,,,,,,,,1- 3 Days,,,,,,,,,,,,,,,,
